BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,SIGNGU_ACCTO_FCLTY_CO,SIGNGU_ACCTO_POPLTN_CO,PSNBY_FCLTY_CO,PSNBY_FCL_CO_RANK_CO
"202008","1100000000","서울특별시","1111000000","종로구","81","149962","0.00054","127"
"202008","1100000000","서울특별시","1114000000","중구","26","125990","0.00021","182"
"202008","1100000000","서울특별시","1117000000","용산구","28","229362","0.00012","207"
"202008","1100000000","서울특별시","1120000000","성동구","28","296183","0.00009","213"
"202008","1100000000","서울특별시","1121500000","광진구","25","348647","0.00007","220"
"202008","1100000000","서울특별시","1123000000","동대문구","17","344650","0.00005","227"
"202008","1100000000","서울특별시","1126000000","중랑구","18","395788","0.00005","228"
"202008","1100000000","서울특별시","1129000000","성북구","54","440395","0.00012","206"
"202008","1100000000","서울특별시","1130500000","강북구","53","310555","0.00017","190"
"202008","1100000000","서울특별시","1132000000","도봉구","98","328014","0.00030","164"
"202008","1100000000","서울특별시","1135000000","노원구","88","526718","0.00017","193"
"202008","1100000000","서울특별시","1138000000","은평구","38","481729","0.00008","217"
"202008","1100000000","서울특별시","1141000000","서대문구","47","312632","0.00015","200"
"202008","1100000000","서울특별시","1144000000","마포구","120","373620","0.00032","157"
"202008","1100000000","서울특별시","1147000000","양천구","27","456980","0.00006","225"
"202008","1100000000","서울특별시","1150000000","강서구","89","584920","0.00015","199"
"202008","1100000000","서울특별시","1153000000","구로구","50","405495","0.00012","204"
"202008","1100000000","서울특별시","1154500000","금천구","43","232013","0.00019","186"
"202008","1100000000","서울특별시","1156000000","영등포구","79","375133","0.00021","179"
"202008","1100000000","서울특별시","1159000000","동작구","66","394118","0.00017","192"
"202008","1100000000","서울특별시","1162000000","관악구","21","499316","0.00004","229"
"202008","1100000000","서울특별시","1165000000","서초구","204","427237","0.00048","130"
"202008","1100000000","서울특별시","1168000000","강남구","165","540148","0.00031","162"
"202008","1100000000","서울특별시","1171000000","송파구","46","671312","0.00007","221"
"202008","1100000000","서울특별시","1174000000","강동구","28","457330","0.00006","224"
"202008","2600000000","부산광역시","2611000000","중구","13","41630","0.00031","160"
"202008","2600000000","부산광역시","2614000000","서구","47","107768","0.00044","137"
"202008","2600000000","부산광역시","2617000000","동구","66","89665","0.00074","98"
"202008","2600000000","부산광역시","2620000000","영도구","44","114511","0.00038","149"
"202008","2600000000","부산광역시","2623000000","부산진구","31","357768","0.00009","216"
"202008","2600000000","부산광역시","2626000000","동래구","37","272182","0.00014","201"
"202008","2600000000","부산광역시","2629000000","남구","85","269626","0.00032","159"
"202008","2600000000","부산광역시","2632000000","북구","71","286865","0.00025","174"
"202008","2600000000","부산광역시","2635000000","해운대구","81","403118","0.00020","183"
"202008","2600000000","부산광역시","2638000000","사하구","52","315748","0.00016","195"
"202008","2600000000","부산광역시","2641000000","금정구","69","234640","0.00029","166"
"202008","2600000000","부산광역시","2644000000","강서구","181","133354","0.00136","70"
"202008","2600000000","부산광역시","2647000000","연제구","35","210146","0.00017","194"
"202008","2600000000","부산광역시","2650000000","수영구","76","176937","0.00043","139"
"202008","2600000000","부산광역시","2653000000","사상구","102","214826","0.00047","131"
"202008","2600000000","부산광역시","2671000000","기장군","125","172288","0.00073","100"
"202008","2700000000","대구광역시","2711000000","중구","34","77120","0.00044","136"
"202008","2700000000","대구광역시","2714000000","동구","83","343317","0.00024","176"
"202008","2700000000","대구광역시","2717000000","서구","89","172465","0.00052","128"
"202008","2700000000","대구광역시","2720000000","남구","57","147235","0.00039","148"
"202008","2700000000","대구광역시","2723000000","북구","136","439690","0.00031","161"
"202008","2700000000","대구광역시","2726000000","수성구","57","426437","0.00013","202"
"202008","2700000000","대구광역시","2729000000","달서구","202","563730","0.00036","152"
"202008","2700000000","대구광역시","2771000000","달성군","156","258234","0.00060","116"
"202008","2800000000","인천광역시","2811000000","중구","22","139154","0.00016","196"
"202008","2800000000","인천광역시","2814000000","동구","48","63093","0.00076","96"
"202008","2800000000","인천광역시","2817700000","미추홀구","121","404360","0.00030","163"
"202008","2800000000","인천광역시","2818500000","연수구","46","378093","0.00012","208"
"202008","2800000000","인천광역시","2820000000","남동구","48","528255","0.00009","215"
"202008","2800000000","인천광역시","2823700000","부평구","134","499290","0.00027","171"
"202008","2800000000","인천광역시","2824500000","계양구","16","298184","0.00005","226"
"202008","2800000000","인천광역시","2826000000","서구","219","543627","0.00040","145"
"202008","2800000000","인천광역시","2871000000","강화군","172","69003","0.00249","34"
"202008","2800000000","인천광역시","2872000000","옹진군","75","20432","0.00367","21"
"202008","2900000000","광주광역시","2911000000","동구","70","99159","0.00071","103"
"202008","2900000000","광주광역시","2914000000","서구","162","298644","0.00054","125"
"202008","2900000000","광주광역시","2915500000","남구","152","215701","0.00070","104"
"202008","2900000000","광주광역시","2917000000","북구","188","433279","0.00043","138"
"202008","2900000000","광주광역시","2920000000","광산구","172","407371","0.00042","141"
"202008","3000000000","대전광역시","3011000000","동구","99","223728","0.00044","135"
"202008","3000000000","대전광역시","3014000000","중구","109","237792","0.00046","133"
"202008","3000000000","대전광역시","3017000000","서구","74","481124","0.00015","198"
"202008","3000000000","대전광역시","3020000000","유성구","226","352550","0.00064","108"
"202008","3000000000","대전광역시","3023000000","대덕구","31","174237","0.00018","188"
"202008","3100000000","울산광역시","3111000000","중구","85","219249","0.00039","147"
"202008","3100000000","울산광역시","3114000000","남구","34","321955","0.00011","211"
"202008","3100000000","울산광역시","3117000000","동구","46","157589","0.00029","168"
"202008","3100000000","울산광역시","3120000000","북구","47","218765","0.00021","178"
"202008","3100000000","울산광역시","3171000000","울주군","84","222752","0.00038","151"
"202008","3600000000","세종특별자치시","3611000000","세종시","73","347232","0.00021","180"
"202008","4100000000","경기도","4111000000","수원시","247","1190074","0.00021","181"
"202008","4100000000","경기도","4113000000","성남시","235","940668","0.00025","173"
"202008","4100000000","경기도","4115000000","의정부시","135","456660","0.00030","165"
"202008","4100000000","경기도","4117000000","안양시","34","554857","0.00006","223"
"202008","4100000000","경기도","4119000000","부천시","379","822865","0.00046","132"
"202008","4100000000","경기도","4121000000","광명시","29","308678","0.00009","214"
"202008","4100000000","경기도","4122000000","평택시","226","527166","0.00043","140"
"202008","4100000000","경기도","4125000000","동두천시","128","93968","0.00136","68"
"202008","4100000000","경기도","4127000000","안산시","113","653733","0.00017","189"
"202008","4100000000","경기도","4128000000","고양시","304","1076406","0.00028","169"
"202008","4100000000","경기도","4129000000","과천시","49","61902","0.00079","93"
"202008","4100000000","경기도","4131000000","구리시","53","197889","0.00027","172"
"202008","4100000000","경기도","4136000000","남양주시","140","709881","0.00020","184"
"202008","4100000000","경기도","4137000000","오산시","80","228768","0.00035","155"
"202008","4100000000","경기도","4139000000","시흥시","157","489077","0.00032","158"
"202008","4100000000","경기도","4141000000","군포시","30","275508","0.00011","209"
"202008","4100000000","경기도","4143000000","의왕시","21","162751","0.00013","203"
"202008","4100000000","경기도","4145000000","하남시","51","285693","0.00018","187"
"202008","4100000000","경기도","4146000000","용인시","263","1075659","0.00024","175"
"202008","4100000000","경기도","4148000000","파주시","110","459158","0.00024","177"
"202008","4100000000","경기도","4150000000","이천시","120","219537","0.00055","124"
"202008","4100000000","경기도","4155000000","안성시","77","186104","0.00041","142"
"202008","4100000000","경기도","4157000000","김포시","36","458505","0.00008","218"
"202008","4100000000","경기도","4159000000","화성시","296","842864","0.00035","154"
"202008","4100000000","경기도","4161000000","광주시","59","379480","0.00016","197"
"202008","4100000000","경기도","4163000000","양주시","200","229052","0.00087","89"
"202008","4100000000","경기도","4165000000","포천시","102","147854","0.00069","106"
"202008","4100000000","경기도","4167000000","여주시","69","111438","0.00062","113"
"202008","4100000000","경기도","4180000000","연천군","78","43542","0.00179","49"
"202008","4100000000","경기도","4182000000","가평군","76","62605","0.00121","76"
"202008","4100000000","경기도","4183000000","양평군","92","118372","0.00078","95"
"202008","4200000000","강원도","4211000000","춘천시","205","281854","0.00073","99"
"202008","4200000000","강원도","4213000000","원주시","350","352964","0.00099","82"
"202008","4200000000","강원도","4215000000","강릉시","354","212935","0.00166","53"
"202008","4200000000","강원도","4217000000","동해시","80","90548","0.00088","87"
"202008","4200000000","강원도","4219000000","태백시","150","42980","0.00349","25"
"202008","4200000000","강원도","4221000000","속초시","72","82343","0.00087","88"
"202008","4200000000","강원도","4223000000","삼척시","89","65708","0.00135","71"
"202008","4200000000","강원도","4272000000","홍천군","169","69167","0.00244","35"
"202008","4200000000","강원도","4273000000","횡성군","144","46409","0.00310","26"
"202008","4200000000","강원도","4275000000","영월군","153","38773","0.00395","18"
"202008","4200000000","강원도","4276000000","평창군","96","41742","0.00230","38"
"202008","4200000000","강원도","4277000000","정선군","72","37006","0.00195","44"
"202008","4200000000","강원도","4278000000","철원군","32","44833","0.00071","101"
"202008","4200000000","강원도","4279000000","화천군","39","24802","0.00157","57"
"202008","4200000000","강원도","4280000000","양구군","57","22329","0.00255","33"
"202008","4200000000","강원도","4281000000","인제군","41","31571","0.00130","72"
"202008","4200000000","강원도","4282000000","고성군","56","26857","0.00209","43"
"202008","4200000000","강원도","4283000000","양양군","78","27868","0.00280","28"
"202008","4300000000","충청북도","4311000000","청주시","859","843782","0.00102","81"
"202008","4300000000","충청북도","4313000000","충주시","321","210304","0.00153","61"
"202008","4300000000","충청북도","4315000000","제천시","39","133170","0.00029","167"
"202008","4300000000","충청북도","4372000000","보은군","51","32522","0.00157","58"
"202008","4300000000","충청북도","4373000000","옥천군","299","50792","0.00589","6"
"202008","4300000000","충청북도","4374000000","영동군","73","47706","0.00153","60"
"202008","4300000000","충청북도","4374500000","증평군","10","37136","0.00027","170"
"202008","4300000000","충청북도","4375000000","진천군","214","81949","0.00261","31"
"202008","4300000000","충청북도","4376000000","괴산군","23","37354","0.00062","114"
"202008","4300000000","충청북도","4377000000","음성군","129","94179","0.00137","67"
"202008","4300000000","충청북도","4380000000","단양군","31","29268","0.00106","80"
"202008","4400000000","충청남도","4413000000","천안시","122","658212","0.00019","185"
"202008","4400000000","충청남도","4415000000","공주시","75","105353","0.00071","102"
"202008","4400000000","충청남도","4418000000","보령시","61","100538","0.00061","115"
"202008","4400000000","충청남도","4420000000","아산시","170","313871","0.00054","126"
"202008","4400000000","충청남도","4421000000","서산시","103","175272","0.00059","119"
"202008","4400000000","충청남도","4423000000","논산시","66","117340","0.00056","121"
"202008","4400000000","충청남도","4425000000","계룡시","42","42802","0.00098","83"
"202008","4400000000","충청남도","4427000000","당진시","76","166067","0.00046","134"
"202008","4400000000","충청남도","4471000000","금산군","72","51641","0.00139","66"
"202008","4400000000","충청남도","4476000000","부여군","59","65723","0.00090","85"
"202008","4400000000","충청남도","4477000000","서천군","29","52137","0.00056","122"
"202008","4400000000","충청남도","4479000000","청양군","42","30863","0.00136","69"
"202008","4400000000","충청남도","4480000000","홍성군","38","99984","0.00038","150"
"202008","4400000000","충청남도","4481000000","예산군","207","78420","0.00264","29"
"202008","4400000000","충청남도","4482500000","태안군","22","62296","0.00035","153"
"202008","4500000000","전라북도","4511000000","전주시","42","656149","0.00006","222"
"202008","4500000000","전라북도","4513000000","군산시","33","267982","0.00012","205"
"202008","4500000000","전라북도","4514000000","익산시","146","283496","0.00051","129"
"202008","4500000000","전라북도","4518000000","정읍시","168","109167","0.00154","59"
"202008","4500000000","전라북도","4519000000","남원시","48","81062","0.00059","118"
"202008","4500000000","전라북도","4521000000","김제시","48","83061","0.00058","120"
"202008","4500000000","전라북도","4571000000","완주군","100","91741","0.00109","79"
"202008","4500000000","전라북도","4572000000","진안군","158","25466","0.00620","5"
"202008","4500000000","전라북도","4573000000","무주군","38","24024","0.00158","56"
