QUALF_YEAR,HEALTH_MVM_MNGER_CO,SCLS1_SPCLTY_SPORTS_INSTOR_CO,SCLS2_SPCLTY_SPORTS_INSTOR_CO,SCLS1_LVLH_SPORTS_INSTOR_CO,SCLS2_LVLH_SPORTS_INSTOR_CO,YUTH_SPORTS_INSTOR_CO,SNCTZ_SPORTS_INSTOR_CO,SCLS1_DSPSN_SPORTS_INSTOR_CO,SCLS2_DSPSN_SPORTS_INSTOR_CO,SCLS1_SPCLTY_SPORTS_INSTOR_EXMNE_CO,SCLS2_SPCLTY_SPORTS_INSTOR_EXMNE_CO,SCLS1_LVLH_SPORTS_INSTOR_EXMNE_CO,SCLS2_LVLH_SPORTS_INSTOR_EXMNE_CO,HEALTH_MVM_MNGER_EXMNE_CO,SCLS1_DSPSN_SPORTS_INSTOR_EXMNE_CO,SCLS2_DSPSN_SPORTS_INSTOR_EXMNE_CO,YUTH_SPORTS_INSTOR_EXMNE_CO,SNCTZ_SPORTS_INSTOR_EXMNE_CO
"1974","0","0","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","0","17","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1978","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","0","22","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1980","0","27","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1981","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1982","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1983","0","0","371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","0","0","515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","0","0","498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1986","0","0","569","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1987","0","0","627","775","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1988","0","0","517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1989","0","0","292","433","2615","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1990","0","22","685","0","2810","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1991","0","14","343","0","4458","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1992","0","39","649","242","1139","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","38","556","108","3128","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1994","0","35","290","217","3112","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","17","18","502","193","3233","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1996","21","20","432","137","3746","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1997","22","10","782","158","4071","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","52","28","994","400","5669","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","48","44","842","367","9871","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","36","26","757","402","5499","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","40","36","838","480","6038","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","48","21","728","416","7016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","46","30","819","353","6903","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004","50","26","1196","605","8563","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","65","34","1079","446","8515","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","61","57","1346","458","10063","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","73","69","1445","371","10225","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","57","76","1357","371","10647","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","61","55","1646","367","8946","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","70","75","1784","317","11175","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","56","66","2154","280","10390","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","51","87","1981","291","10993","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","68","79","2011","342","12674","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","106","73","2233","492","22333","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","234","70","1445","185","6325","1966","1745","0","461","120","2186","378","19940","1436","0","1197","3418","3073"
"2016","285","78","2758","277","9190","1632","1921","0","571","141","4720","502","28025","1998","0","1610","3116","3861"
"2017","179","66","1170","261","6927","1257","1844","0","478","106","3966","444","34470","2084","0","1968","2624","4270"
"2018","94","41","1786","245","8920","1185","1856","0","548","63","5090","430","34373","1843","0","2266","2237","3950"
"2019","235","48","1813","258","10177","1391","2003","15","693","83","6226","471","41276","1412","27","2752","2659","4468"
"2020","81","0","21","0","30","0","3","0","2","33","5731","145","32940","1479","22","3254","659","2261"
"2021","305","106","4274","420","17160","2099","3194","39","1952","145","8634","523","45234","2108","57","4115","2744","4961"
"2022","313","55","2341","346","13585","1717","2484","27","1171","99","6378","472","43737","1897","48","3304","2508","4234"
"2023","145","39","2905","244","15783","1502","2098","16","985","63","7951","399","50087","1865","29","3406","2414","4021"
"2024","323","45","2424","218","12697","1878","2788","10","1129","77","8528","424","58832","1964","13","3956","2929","5472"
